System,Confidence,Expected,Actual,N
S1_Raw_LLM,High,0.9,0.9305555555555556,144
S1_Raw_LLM,Medium,0.6,0.8333333333333334,6
S2_RAG_Only,High,0.9,0.8767123287671232,146
S2_RAG_Only,Medium,0.6,0.75,4
S3_BM25_Only,High,0.9,0.90625,128
S3_BM25_Only,Medium,0.6,0.8888888888888888,9
S3_BM25_Only,Low,0.3,0.9230769230769231,13
S4_Hybrid_RAG,High,0.9,0.8714285714285714,140
S4_Hybrid_RAG,Medium,0.6,0.9,10
S5_LLM_Gate,High,0.9,0.9305555555555556,144
S5_LLM_Gate,Medium,0.6,0.8333333333333334,6
S6_Gate_Evaluator,High,0.9,0.7692307692307693,143
S6_Gate_Evaluator,Medium,0.6,0.5714285714285714,7
S7_Full_Hybrid,High,0.9,0.8848920863309353,139
S7_Full_Hybrid,Medium,0.6,0.9090909090909091,11
